ITEM, VR. UNITARIO
1.1.1,1039990
1.1.2,1301976
1.1.3,2804256
1.1.4,5238460
1.1.5,6286153
1.1.6,12447
1.1.7,23136
1.1.8,16020
1.1.9,34039
1.1.10,74384
1.1.11,245815
1.1.12,3076
1.1.13,2460
1.1.14,972800
1.3.1.1,112535
1.3.1.2,191311
1.3.2.1,23068
1.3.2.2,27820
1.3.2.3,66768
1.3.2.4,66768
1.3.2.5,14349
1.3.2.6,25000
1.3.2.7,36166
1.3.2.8,36166
1.3.3.1,7233
1.3.3.2,7790
1.3.3.3,15615
1.3.3.4,62459
1.3.3.5,27820
1.3.3.6,12638
1.3.3.7,15185
1.3.3.8,15185
1.3.3.9,27820
1.3.3.10,7109
1.3.3.11,69550
1.3.3.12,6677
1.3.3.13,83519
1.3.3.14,89024
1.3.3.15,33384
1.3.3.16,83460
1.3.3.17,222560
1.3.3.18,9459
1.3.3.19,9459
1.3.3.20,11351
1.3.3.21,14188
1.3.3.22,15615
1.3.3.23,31230
1.3.3.24,8346
1.3.3.25,13910
1.3.4.1,2924
1.3.4.2,10529
1.3.4.3,8774
1.3.4.4,2782
1.3.4.5,7790
1.3.4.6,13960
1.3.4.7,8787
1.3.4.8,8346
1.3.4.9,7233
1.3.5.1,3895
1.3.5.2,4451
1.3.5.3,3895
1.3.5.4,6232
1.3.5.5,7790
1.3.5.6,10126
1.3.5.7,12463
1.3.5.8,8500
1.3.5.9,5564
1.3.5.10,15301
1.3.6.1,94490
1.3.6.2,278200
1.3.6.3,12762
1.3.6.4,19812
1.3.6.5,34974
1.3.6.6,48362
1.3.6.7,2782
1.3.6.8,4451
1.3.6.9,8902
1.3.6.10,17805
1.3.6.11,3895
1.3.6.12,6621
1.3.6.13,11256
1.3.6.14,19698
1.3.6.15,9459
1.3.6.16,18918
1.3.6.17,5063
1.3.6.18,6232
1.3.6.19,30000
1.3.6.20,87079
1.3.6.21,116105
1.3.6.22,29026
1.3.6.23,40638
1.3.6.24,8902
1.3.6.25,26208
1.3.6.26,52415
1.3.6.27,26208
1.3.6.28,52415
1.3.6.29,43678
1.3.6.30,87356
1.3.6.31,25038
1.3.6.32,43678
1.3.6.33,87356
1.3.6.34,16692
1.3.6.35,7300
1.3.6.36,11072
1.3.6.37,162961
1.3.6.38,2194
1.3.7.1,4451
1.3.7.2,5564
1.3.7.3,7790
1.3.7.4,8778
1.3.7.5,10015
1.3.7.6,10182
1.3.8.1,3438
1.3.8.2,20002
1.3.8.3,3338
1.3.8.4,4173
1.3.8.5,11233
1.3.8.6,7790
1.3.8.7,6668
1.3.8.8,2668
1.3.8.9,4451
1.3.8.10,5564
1.3.8.11,5564
1.3.8.12,6677
1.3.8.13,7233
1.3.8.14,8346
1.3.8.15,16815
1.3.8.16,22869
1.3.8.17,24081
1.3.9.1,10207
1.3.9.2,20413
1.3.9.3,20413
1.3.9.4,6379
1.3.9.5,167972
1.3.9.6,229535
1.3.9.7,27462
1.3.9.8,63021
1.3.9.9,24355
1.3.9.10,13354
1.3.9.11,10207
1.3.9.12,5103
1.3.9.13,251791
1.3.9.14,9315
1.3.9.15,11734
1.3.9.16,34057
1.3.9.17,13623
1.3.9.18,15072
1.3.9.19,64709
1.3.9.20,68485
1.3.9.21,133654
1.3.9.22,99581
1.3.9.23,325570
1.3.10.1,5564
1.3.10.2,7790
1.3.10.3,8346
1.3.10.4,20435
1.3.10.5,16247
1.3.10.6,33384
1.3.10.7,122408
1.3.10.8,284431
1.3.10.9,349117
1.4.1,42286
1.4.2,51559
2.1.1,19804
2.1.2,12769
2.1.3,44940
2.1.4,69747
2.1.5,77362
2.1.6,77362
2.1.7,101187
2.1.8,136881
2.1.9,11403
2.1.10,13629
2.1.11,76922
2.1.12,95842
2.1.13,11000
2.1.14,22000
2.2.1.1,22609
2.2.1.2,24835
2.2.1.3,274783
2.2.1.4,561218
2.2.1.5,561218
2.2.1.6,606715
2.2.1.7,561218
2.2.1.8,60169
2.2.1.9,27183
2.2.1.10,67959
2.2.1.11,93729
2.2.1.12,77456
2.2.1.13,82809
2.2.1.14,103228
2.2.1.15,91704
2.2.1.16,103578
2.2.1.17,115451
2.2.1.18,130459
2.2.1.19,147733
2.2.1.20,79474
2.2.1.21,72507
2.2.1.22,82915
2.2.1.23,121451
2.2.2.1,583461
2.3.1.1,716157
2.3.1.2,937116
2.3.1.3,768325
2.3.2.1,937116
2.3.3.1,787116
2.4.1,3365
2.4.2,3769
2.5.1,643614
2.5.2,9150
2.5.3,43936
2.7.1.1,70061
3.1.1,12769
3.1.2,44940
3.1.3,9630
3.1.4,44940
3.1.5,32283
3.1.6,69747
3.1.7,97320
3.1.8,38235
3.1.9,77362
3.1.10,19251
3.1.11,11403
3.1.12,13629
3.1.13,76922
3.1.14,95842
3.1.15,9606
3.1.16,18823
3.1.17,26352
3.2.1.1,17911
3.2.1.2,23635
3.2.1.3,30752
3.2.1.4,46706
3.2.1.5,27670
3.2.1.6,28523
3.2.1.7,57030
3.2.1.8,44201
3.2.1.9,44528
3.2.1.10,83820
3.2.1.11,74810
3.2.1.12,82201
3.2.1.13,159426
3.2.1.14,129063
3.2.1.15,177840
3.2.1.16,72109
3.2.1.17,104273
3.2.1.18,178172
3.2.1.19,327042
3.2.1.20,637846
3.2.1.21,135586
3.2.1.22,159250
3.2.1.23,249968
3.2.1.24,549767
3.2.1.25,971463
3.2.2.1,56570
3.2.2.2,77009
3.2.2.3,108814
3.2.2.4,127050
3.2.2.5,169663
3.2.2.6,374158
3.2.2.7,902534
3.2.2.8,1066834
3.2.2.9,129085
3.2.4.1,11585
3.2.5.1,90409
3.2.5.2,138589
3.2.6.1,35408
3.2.6.2,189176
3.2.6.3,308870
3.2.6.4,11847
3.2.6.5,454394
3.2.6.6,387568
3.2.6.7,561229
3.2.6.8,813553
3.2.6.9,913386
3.2.6.10,1057620
3.2.6.11,1410159
3.2.6.12,977038
3.2.6.13,1369865
3.2.6.14,2443045
3.2.6.15,2931654
3.2.6.16,3664568
3.2.6.17,5666785
3.2.6.18,77896
3.2.6.19,110668
3.2.6.20,74190
3.2.7.1,1224336
3.2.7.2,2118909
3.2.7.3,3965761
3.2.7.4,5948641
3.2.7.5,7629557
3.2.7.6,12970247
3.2.7.7,20335482
3.2.8.1,95701
3.2.8.2,112393
3.3.1.1,716068
3.3.1.2,1080773
3.3.1.3,2004254
3.3.1.4,79300
3.3.1.5,86437
3.3.1.6,86437
3.3.1.7,120000
3.3.1.8,716068
3.3.4.1,1055177
